"","Town","Asset.Cities","distance"
"1","Thousand Oaks","Agoura Hills",7089.33741598777
"2","Thousand Oaks","Agoura",9656.72816274234
"3","Alameda","Alameda",0
"4","Walnut Creek","Alamo",7128.13170144807
"5","Laguna Niguel","Aliso Viejo",6203.77485823547
"6","Rancho Cucamonga","Alta Loma",3065.59400227191
"7","Vallejo","American Canyon",8287.42214304682
"8","Anaheim","Anaheim",0
"9","Redding","Anderson",17318.803181481
"10","Modesto","Angels Camp",62472.8499423153
"11","Antioch","Antioch",0
"12","Santa Cruz","Aptos",10872.3578131587
"13","Rocklin","Auburn",18178.4796216724
"14","West Covina","Azusa",7887.70871170253
"15","Bakersfield","Bakersfield",0
"16","Apple Valley","Barstow",46681.850095761
"17","Santa Monica","Bel Air",8093.01483596908
"18","Downey","Bell Gardens",3772.27844991247
"19","Bellflower","Bellflower",0
"20","San Mateo","Belmont",4066.28986105001
"21","Berkeley","Berkeley",0
"22","Turlock","Berkley",24532.7352122799
"23","Santa Monica","Beverly Hills",10385.6228054185
"24","Fullerton","Brea",6365.80662181349
"25","Brentwood","Brentwood",0
"26","South San Francisco","Brisbane",3943.12235999906
"27","Buena Park","Buena Park",0
"28","Burbank","Burbank",0
"29","San Mateo","Burlingame",9125.44855562721
"30","Simi Valley","Calabasas",17021.3614969396
"31","Indio","Calipatria",93036.1050667274
"32","Santa Rosa","Calistoga",19341.5471319641
"33","Camarillo","Camarillo",0
"34","Folsom","Cameron Park",16596.7779068309
"35","San Jose","Campbell",7279.00912043171
"36","Simi Valley","Canoga Park",16159.8545002868
"37","Santa Cruz","Capitola",8834.23962478692
"38","Carlsbad","Carlsbad",0
"39","Salinas","Carmel",27392.9381762567
"40","Santa Barbara","Carpinteria",17114.6391253659
"41","Carson","Carson",0
"42","Castro Valley","Castro Valley",0
"43","Indio","Cathedral City",25731.6835712624
"44","Modesto","Ceres",6031.21690053206
"45","Buena Park","Cerritos",5376.20399819939
"46","Simi Valley","Chatsworth",14042.5780542283
"47","Chico","Chico",0
"48","Chino Hills","Chino Hills",0
"49","Chino","Chino",0
"50","Chula Vista","Chula Vista",0
"51","Citrus Heights","Citrus Heights",0
"52","West Covina","City Industry",5915.82288827933
"53","West Covina","City of Industry",5915.82288827933
"54","Pomona","Claremont",5460.96124647294
"55","Santa Rosa","Clearlake",58136.1599727612
"56","Rialto","Colton",6354.61524641307
"57","Yuba City","Colusa",52155.0667080175
"58","East Los Angeles","Commerce",2829.27931289063
"59","Compton","Compton",0
"60","Concord","Concord",0
"61","Chico","Corning",36670.9632400081
"62","Corona","Corona",0
"63","San Diego","Coronado",3164.44882510678
"64","Costa Mesa","Costa Mesa",0
"65","West Covina","Covina",5066.4819829984
"66","Inglewood","Culver City",8260.07561074254
"67","Sunnyvale","Cupertino",5126.25418308447
"68","Daly City","Daly City",0
"69","Laguna Niguel","Dana Point",6246.09281504909
"70","San Ramon","Danville",7617.86295693804
"71","Davis","Davis",0
"72","San Marcos","Del Mar",21332.8448577993
"73","Chino Hills","Diamond Bar",6126.63680051626
"74","Davis","Dixon",13159.0822366748
"75","Downey","Downey",0
"76","Dublin","Dublin",0
"77","Palo Alto","East Palo Alto",3191.96760059976
"78","Compton","East Rancho Dominguez",2911.03152105572
"79","Eastvale","Eastvale",0
"80","El Cajon","El Cajon",0
"81","El Monte","El Monte",0
"82","Hawthorne","El Segundo",6761.94191929568
"83","Elk Grove","Elk Grove",0
"84","Oakland","Emeryville",3283.63513843275
"85","Carlsbad","Encinitas",14547.5529015357
"86","Santa Monica","Encino",15576.5796594465
"87","Escondido","Escondido",0
"88","Carmichael","Fair Oaks",6838.40456009733
"89","Fairfield","Fairfield",0
"90","Visalia","Farmersville",8462.13915403802
"91","Folsom","Folsom",0
"92","Fontana","Fontana",0
"93","Redwood City","Foster City",8809.9409884193
"94","Huntington Beach","Fountain Valley",4468.7234627729
"95","Fremont","Fremont",0
"96","Fresno","Fresno",0
"97","Fullerton","Fullerton",0
"98","Garden Grove","Garden Grove",0
"99","Hawthorne","Gardena",5842.98526377452
"100","Salinas","Gilroy",37863.8449913183
"101","Glendale","Glendale",0
"102","Santa Barbara","Goleta",11575.7102331095
"103","Yuba City","Grass Valley",48598.8899732675
"104","Richmond","Greenbrae",15599.8921889675
"105","Salinas","Greenfield",53886.041834241
"106","Visalia","Hanford",31757.4494637501
"107","Torrance","Harbor City",6326.16965084961
"108","Hawthorne","Hawthorne",0
"109","Hayward","Hayward",0
"110","Hemet","Hemet",0
"111","Redondo Beach","Hermosa Beach",2989.46596057928
"112","Hesperia","Hesperia",0
"113","Salinas","Hollister",30060.4586874204
"114","Glendale","Hollywood",9291.48460353399
