OBJECTID,GEOID10,STATE,COUNTY,TRACT,STUSAB,STATE_NAME,Shape__Area,Shape__Length
1,51019050100,51,019,050100,VA,Virginia,28306038.4335938,26585.2205543359
2,01005950100,01,005,950100,AL,Alabama,717893663.257813,151046.832372106
3,01027959000,01,027,959000,AL,Alabama,259433517.308594,88466.4486224712
4,01091972900,01,091,972900,AL,Alabama,147579467.261719,67881.9273321854
5,01069041500,01,069,041500,AL,Alabama,60738146.7871094,37114.3265661278
6,01127020400,01,127,020400,AL,Alabama,37740319.6601563,34461.9399026426
7,01073002200,01,073,002200,AL,Alabama,2720716.87109375,9744.14602203781
8,01077010900,01,077,010900,AL,Alabama,14656887.3125,17054.1795253021
9,01077010100,01,077,010100,AL,Alabama,12905851.1679688,23569.9251441011
10,01089003100,01,089,003100,AL,Alabama,6433990.73046875,10422.5812706525
11,01073001200,01,073,001200,AL,Alabama,12496866.8007813,19325.2412883345
12,01073013100,01,073,013100,AL,Alabama,8683636.10546875,16594.7342106148
13,01073012701,01,073,012701,AL,Alabama,38835244.3867188,42422.3141141983
14,01089003000,01,089,003000,AL,Alabama,5907592.328125,10029.9021869323
15,01073000400,01,073,000400,AL,Alabama,11554119.328125,16917.8691813237
16,01073001600,01,073,001600,AL,Alabama,3817805.8671875,9224.98006590215
17,01073000700,01,073,000700,AL,Alabama,5082369.69140625,9619.9328898511
18,01073001500,01,073,001500,AL,Alabama,2747010.89453125,8221.94183022571
19,01073001400,01,073,001400,AL,Alabama,3233620.89453125,8962.08466330638
20,01089001301,01,089,001301,AL,Alabama,3511883.76953125,7576.66107002838
21,01073003001,01,073,003001,AL,Alabama,3516430.59375,9121.49184971146
22,01073000800,01,073,000800,AL,Alabama,14454310.3320313,21607.3335705855
23,01073003200,01,073,003200,AL,Alabama,1670329.65234375,7276.16290520055
24,01073011705,01,073,011705,AL,Alabama,58138439.2421875,44151.8155562269
25,01073012002,01,073,012002,AL,Alabama,45734167.140625,33004.1301235832
26,01019955900,01,019,955900,AL,Alabama,452648501.1875,112024.303765569
27,01103000100,01,103,000100,AL,Alabama,9332356.734375,15238.4403979097
28,01035960400,01,035,960400,AL,Alabama,664672932.144531,130680.86488926
29,01029959600,01,029,959600,AL,Alabama,354450154.980469,106034.755103818
30,01089001500,01,089,001500,AL,Alabama,7385008.6328125,11956.371508147
31,01073002303,01,073,002303,AL,Alabama,4630312.265625,10801.0970705899
32,01067030200,01,067,030200,AL,Alabama,124137138.738281,55439.3158181815
33,01073000500,01,073,000500,AL,Alabama,6955719.2734375,11698.7469789314
34,01073002400,01,073,002400,AL,Alabama,12031041.3828125,15541.7489196063
35,01003011501,01,003,011501,AL,Alabama,52227744.2734375,32603.6584163342
36,01003011502,01,003,011502,AL,Alabama,70590682.7480469,37413.7753604651
37,01089000202,01,089,000202,AL,Alabama,8070181.68359375,14328.1728678247
38,01089010622,01,089,010622,AL,Alabama,32044465.9335938,27879.5835928842
39,01073004500,01,073,004500,AL,Alabama,4355207.01171875,8959.34815340517
40,01073002700,01,073,002700,AL,Alabama,6433337.34765625,11182.1720182588
41,01073002900,01,073,002900,AL,Alabama,3367100.33203125,9653.97984519813
42,01003010600,01,003,010600,AL,Alabama,25299648.3828125,30489.9611276431
43,01003010500,01,003,010500,AL,Alabama,24025986.125,26589.8624101369
44,01003010400,01,003,010400,AL,Alabama,1005912439.3457,161963.501404567
45,01003010200,01,003,010200,AL,Alabama,302884804.167969,87088.2646741719
46,01041963700,01,041,963700,AL,Alabama,358493652.417969,117573.235276636
47,01007010002,01,007,010002,AL,Alabama,260633544.238281,80317.7571006329
48,01073000100,01,073,000100,AL,Alabama,11025257.0273438,17011.8411017968
49,01089002501,01,089,002501,AL,Alabama,7824322.21875,11961.3184380521
50,01089002100,01,089,002100,AL,Alabama,5075309.53515625,10142.6667984685
51,01089001402,01,089,001402,AL,Alabama,30528604.9726563,25557.3655113336
52,01083020201,01,083,020201,AL,Alabama,77211668.3203125,49239.5476148806
53,01083020700,01,083,020700,AL,Alabama,13746995.8828125,16308.5849733876
54,01047956500,01,047,956500,AL,Alabama,9987077.04296875,18887.4012709016
55,01013952800,01,013,952800,AL,Alabama,4799257.1484375,11808.5702433942
56,01089000201,01,089,000201,AL,Alabama,11452548.2617188,21330.0925875628
57,01083020600,01,083,020600,AL,Alabama,15429648.1601563,18034.3198152165
58,01059973700,01,059,973700,AL,Alabama,520346452.847656,125536.931934222
59,01073004200,01,073,004200,AL,Alabama,4406775.6484375,11856.9749914137
60,01073003002,01,073,003002,AL,Alabama,2564801.0703125,7670.93639860411
61,01073003900,01,073,003900,AL,Alabama,3219275.2578125,10093.4488713748
62,01087231603,01,087,231603,AL,Alabama,112916053.109375,83391.9543063446
63,01087231500,01,087,231500,AL,Alabama,358603030.761719,115184.10898762
64,01087232200,01,087,232200,AL,Alabama,386622979.804688,145592.683802774
65,01001020700,01,001,020700,AL,Alabama,32642319.4765625,26784.3173565054
66,01095030100,01,095,030100,AL,Alabama,311729121.558594,93758.5961068406
67,01039962700,01,039,962700,AL,Alabama,18095332.2714844,23613.397853733
68,01039962000,01,039,962000,AL,Alabama,69482260.3125,44190.3770094576
69,01073010200,01,073,010200,AL,Alabama,5232370.37890625,10446.0969574872
70,01117030703,01,117,030703,AL,Alabama,93528987.6132813,58482.3429301564
71,01121010900,01,121,010900,AL,Alabama,9561009.58984375,18843.1364212898
72,01073011209,01,073,011209,AL,Alabama,6090995.375,13858.2991600893
73,01073001902,01,073,001902,AL,Alabama,4824007.171875,13963.2099672704
74,01073000300,01,073,000300,AL,Alabama,3020969.046875,10619.9905679427
75,01021060102,01,021,060102,AL,Alabama,91919041.8671875,43211.71906684
76,01097007400,01,097,007400,AL,Alabama,22609465.5507813,23743.2391496873
77,01107050100,01,107,050100,AL,Alabama,458697633.402344,105805.91910369
78,01055001200,01,055,001200,AL,Alabama,9057142.71875,15947.8542285034
79,01033020200,01,033,020200,AL,Alabama,3331012.18359375,9108.99040730753
80,01123962300,01,123,962300,AL,Alabama,290780800.136719,89870.6992853135
81,01097006403,01,097,006403,AL,Alabama,23102973.7460938,22226.4538766193
82,01131035100,01,131,035100,AL,Alabama,674736515.203125,155141.050487718
83,01061050300,01,061,050300,AL,Alabama,201075462.353516,84051.9493843505
84,01045020700,01,045,020700,AL,Alabama,16841036.1386719,25609.5497411998
85,01125012600,01,125,012600,AL,Alabama,6800807.25390625,14469.8186852109
86,01119011300,01,119,011300,AL,Alabama,1346416274.89063,270302.148660089
87,01125012800,01,125,012800,AL,Alabama,3383408.22265625,9034.76933099937
88,01125012100,01,125,012100,AL,Alabama,7580091.828125,12020.7713597687
89,01125011701,01,125,011701,AL,Alabama,2440520.41015625,7874.82839971754
90,01125012405,01,125,012405,AL,Alabama,7361628.55078125,12742.5778231537
