"Town","Period","Deal_Volume","Avg_Deal_Size","Total_Size_Sq_Ft","Fed_Rate","Unemployment_Rate","HomeValue","Estimate.Own.children.under.6.years","Estimate.Own.children.6.to.17.years","Estimate.Car..truck..or.van....drove.alone","Estimate.Car..truck..or.van....carpooled","Estimate.Public.transportation..excluding.taxicab.","Estimate.Walked","Estimate.Worked.at.home","Estimate.Mean.travel.time.to.work..minutes.","Estimate.Management..business..science..and.arts.occupations","Estimate.Service.occupations","Estimate.Sales.and.office.occupations","Estimate.Natural.resources..construction..and.maintenance.occupations","Estimate.Production..transportation..and.material.moving.occupations","Estimate.Agriculture..forestry..fishing.and.hunting..and.mining","Estimate.Construction","Estimate.Manufacturing","Estimate.Wholesale.trade","Estimate.Retail.trade","Estimate.Transportation.and.warehousing..and.utilities","Estimate.Information","Estimate.Finance.and.insurance..and.real.estate.and.rental.and.leasing","Estimate.Professional..scientific..and.management..and.administrative.and.waste.management.services","Estimate.Educational.services..and.health.care.and.social.assistance","Estimate.Arts..entertainment..and.recreation..and.accommodation.and.food.services","Estimate.Other.services..except.public.administration","Estimate.Public.administration","Estimate.Private.wage.and.salary.workers","Estimate.Government.workers","Estimate.Self.employed.in.own.not.incorporated.business.workers","Estimate.Unpaid.family.workers","Estimate.Median.household.income..dollars.","Estimate.With.earnings","Estimate.With.Social.Security","Estimate.With.retirement.income","Estimate.With.Supplemental.Security.Income","Estimate.With.cash.public.assistance.income","Estimate.With.Food.Stamp.SNAP.benefits.in.the.past.12.months","Estimate.With.health.insurance.coverage","Estimate.With.health.insurance.coverage..With.private.health.insurance","Estimate.With.health.insurance.coverage..With.public.coverage","Estimate.No.health.insurance.coverage","Opportunity_Zone","lat.census.town","lon.census.town"
"Hawthorne",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlsbad",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego",2010-01-01,11,19.6011111111111,90303.1111111111,0.173636363636364,11.0727272727273,447286.472116762,95503,177777,461792,56669,26660,18178,44839,22.2,267900,112558,148370,36001,41198,2175,24350,56380,14050,60580,19793,14172,43137,98614,133426,73867,30641,34842,465103,95512,45174,238,60037,387291,97860,63860,21388,13202,23505,1049117,833828,312955,223547,1,32.7174202,-117.162772
"Redondo Beach",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fremont",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles",2010-01-01,11,50.69,628520.666666667,0.187272727272727,11.9090909090909,456220.8927469,288759,544497,1138926,176406,190327,61154,97961,28.6,610075,372944,415977,139669,209401,9500,98556,155866,49278,178115,71463,102001,117055,240811,353591,202544,124267,45019,1371129,181370,193236,2331,47031,1073591,268383,123648,94147,65522,104715,2752887,1816000,1149182,1017110,1,34.0536909,-118.242766
"San Francisco",2010-01-01,2,333,434680,0.19,10.15,750471.506248023,38359,60807,157799,34657,149077,41362,29220,30.3,219415,78978,103089,17627,27556,1130,16023,29079,10024,42315,15012,17971,38414,89930,88869,54107,25468,18323,353080,54920,37781,884,71745,266760,77008,39081,24118,9266,14802,705043,556411,219612,96727,1,37.7792588,-122.4193286
"San Marcos",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Bernardino",2010-01-01,1,3.83,71810,0.2,14.1,100234.478120236,22574,41287,50655,10766,1532,1445,2254,27.3,14932,15410,16675,10427,12211,944,6664,6988,2736,8554,4263,727,2292,5539,16479,5633,4386,4450,52698,13107,3707,143,38640,44711,12191,7270,6746,6245,10831,156728,85104,83502,51706,1,34.8253019,-116.0833144
"Irvine",2010-01-01,2,128.5,242825,0.19,11.95,620316.726636576,13619,29815,80191,7692,1173,3609,5892,22.2,61991,7977,25880,2647,4568,97,2701,12986,3418,10334,1970,2524,13096,18007,25169,5957,3785,3019,81059,15750,5882,372,85615,64804,11219,6182,2603,1098,1114,189139,172629,27110,22514,0,33.6856969,-117.825981
"Chico",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Monica",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleasanton",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rancho Cordova",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burbank",2010-01-01,1,NA,NA,0.18,11.9,456617.357314168,NA,NA,38387,6012,1406,1728,2089,22.9,25784,5432,14065,2957,3449,0,1421,3056,869,6097,1778,7420,3589,6722,11047,4779,2343,2566,38996,7284,5241,166,61520,33867,10748,3842,2222,703,1001,87031,73112,21911,16043,1,34.1812089,-118.307201
"Hayward",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaheim",2010-01-01,1,11.2,154225,0.2,12,379796.116369495,28739,55725,111804,22633,6810,3164,3502,25.6,41158,30434,40852,15538,23730,389,10029,27021,5819,17827,5707,2213,10005,14822,24551,19737,8056,5536,125771,16345,9448,148,54157,84112,20831,10705,5583,2552,7164,254062,183249,87232,81550,1,33.8347516,-117.911732
"Stockton",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compton",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Cajon",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Jose",2010-01-01,2,5.6,78080,0.17,11,449662.506782827,80376,143742,338730,43480,13207,6768,17587,25.2,188741,72731,99963,34245,41112,1113,26424,78804,9813,52205,12552,12967,21336,71519,81970,34685,22063,11341,362257,48083,26256,196,76794,253843,65370,43584,17061,9931,19078,807597,634143,242106,138376,1,37.3361663,-121.890591
"Antioch",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Torrance",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alameda",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Mesa",2010-01-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
