Asset.Cities,Address,latitude,longitude,,long_center,lat_center,distance,sanity_check
Davis,"Green Leaf College Square, Davis, California",38.55377,-121.72975,,-121.739005,38.5435526,608498.2609,Fail
La Palma,"La Palma Professional Center, La Palma, California",34.07893,-118.31918,,-118.0467306,33.846404,349320.8488,Fail
Lakewood,"Lakewood Medical Office, Lakewood, California",33.86157656,-118.1510382,,-118.117191,33.8503463,346677.8495,Fail
Auburn,"Auburn Medical Building, Auburn, California",38.94489088,-121.0987538,,-121.0739897,38.8945939,276934.3143,Fail
Dublin,"Springs Apartments, Dublin, California",37.70257384,-121.9381465,,-121.9357918,37.7021521,245687.0953,Fail
La Mesa,"The Ridge at Jackson, La Mesa, California",32.78148967,-117.0188077,,-117.0230839,32.7678288,182672.8809,Fail
Pittsburgh,"North Park Plaza, Pittsburgh, California",38.01167504,-121.860619,,-121.1002349,39.5151683,179898.7527,Fail
San Diego,"2559 El Camino Real, San Diego, California",33.17893647,-117.3327236,,-117.162772,32.7174202,176021.8571,Fail
San Bernardino,"The Paseos at Montclair North, San Bernardino, California",34.0908824,-117.6980617,,-116.0833144,34.8253019,169262.9658,Fail
San Bernardino,"Benson Commerce Center, San Bernardino, California",34.0915117,-117.6816152,,-116.0833144,34.8253019,167908.227,Fail
San Bernardino,"9008 Foothill Boulevard, San Bernardino, California",34.1080502,-117.6085965,,-116.0833144,34.8253019,161153.7501,Fail
San Bernardino,"9680 Haven Avenue, San Bernardino, California",34.0784906,-117.5762913,,-116.0833144,34.8253019,160287.7728,Fail
San Bernardino,"Empire Lakes Golf Course, San Bernardino, California",34.0838792,-117.5643956,,-116.0833144,34.8253019,159039.3788,Fail
San Bernardino,"11096 Jersey Boulevard, San Bernardino, California",34.0953883,-117.5627555,,-116.0833144,34.8253019,158241.1116,Fail
San Bernardino,"14587-14589 Valley Boulevard, San Bernardino, California",34.0690352,-117.4870731,,-116.0833144,34.8253019,153924.0983,Fail
San Bernardino,"11101 Catawba Avenue, San Bernardino, California",34.0516036,-117.458215,,-116.0833144,34.8253019,152809.4188,Fail
San Bernardino,"14605 Miller Avenue, San Bernardino, California",34.1132063,-117.4856172,,-116.0833144,34.8253019,151148.1619,Fail
San Bernardino,"Fontana Logistics Center, San Bernardino, California",34.0922335,-117.435048,,-116.0833144,34.8253019,148499.9959,Fail
San Bernardino,"13819 Slover Avenue, San Bernardino, California",34.0623229,-117.3681744,,-116.0833144,34.8253019,145349.0682,Fail
San Bernardino,"14521 Slover Avenue, San Bernardino, California",34.0623229,-117.3681625,,-116.0833144,34.8253019,145348.1817,Fail
San Bernardino,"360 South Lilac Avenue, San Bernardino, California",34.095521,-117.3799057,,-116.0833144,34.8253019,144089.7779,Fail
San Bernardino,"North Locust Avenue, San Bernardino, California",34.1438091,-117.4097767,,-116.0833144,34.8253019,143418.6393,Fail
San Bernardino,"1508 West Casmalia Street, San Bernardino, California",34.1388235,-117.4031455,,-116.0833144,34.8253019,143201.0924,Fail
San Bernardino,"The Highlands at Grand Terrace Apartments, San Bernardino, California",34.0386489,-117.3164718,,-116.0833144,34.8253019,143134.3278,Fail
San Bernardino,"1015 South Ranch Avenue, San Bernardino, California",34.095996,-117.3333419,,-116.0833144,34.8253019,140549.9404,Fail
San Bernardino,"Camino Real, San Bernardino, California",34.0726355,-117.2960385,,-116.0833144,34.8253019,139329.9513,Fail
San Bernardino,"1300 California Street, San Bernardino, California",34.1236453,-117.3313122,,-116.0833144,34.8253019,138625.2801,Fail
San Bernardino,"1101 West Rialto Avenue, San Bernardino, California",34.1008456,-117.3076454,,-116.0833144,34.8253019,138313.3352,Fail
San Bernardino,"One Vanderbilt, San Bernardino, California",34.0687374,-117.2769162,,-116.0833144,34.8253019,138197.5558,Fail
San Bernardino,"Cero Townhomes, San Bernardino, California",34.13157,-117.330189,,-116.0833144,34.8253019,138040.2263,Fail
San Bernardino,"New Zion Manor Apartments, San Bernardino, California",34.1337269,-117.3299396,,-116.0833144,34.8253019,137885.8394,Fail
San Bernardino,"Tri-City Corporate Centre, San Bernardino, California",34.068572,-117.2712091,,-116.0833144,34.8253019,137793.9002,Fail
San Bernardino,"One Carnegie Plaza, San Bernardino, California",34.0695665,-117.271282,,-116.0833144,34.8253019,137731.0368,Fail
San Bernardino,"Two Carnegie Plaza, San Bernardino, California",34.0695665,-117.271282,,-116.0833144,34.8253019,137731.0368,Fail
San Bernardino,"Cajon Distribution Center, San Bernardino, California",34.1964607,-117.3760147,,-116.0833144,34.8253019,137697.6962,Fail
San Bernardino,"Cajon Distribution Center, San Bernardino, California",34.1964607,-117.3760147,,-116.0833144,34.8253019,137697.6962,Fail
San Bernardino,"Cajon Distribution Center, San Bernardino, California",34.1964607,-117.3760147,,-116.0833144,34.8253019,137697.6962,Fail
San Bernardino,"Cajon Distribution Center, San Bernardino, California",34.1964607,-117.3760147,,-116.0833144,34.8253019,137697.6962,Fail
San Bernardino,"19949 Kendall Drive, San Bernardino, California",34.195553,-117.3699585,,-116.0833144,34.8253019,137271.7394,Fail
San Bernardino,"5080 Hallmark Parkway, San Bernardino, California",34.1753352,-117.3462725,,-116.0833144,34.8253019,136598.9318,Fail
San Bernardino,"Indian Hill Villas, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"The Village on 5th, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Chino Gateway Center, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Vernola Marketplace, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Hemlock Distribution Center, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Chino Gateway Center, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Portofino on the Park, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Oak View of Sonoma Hills, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"Southeast Industrial Park, San Bernardino, California",34.1083449,-117.2897652,,-116.0833144,34.8253019,136489.6528,Fail
San Bernardino,"1050 East Orange Show Road, San Bernardino, California",34.0786255,-117.2622606,,-116.0833144,34.8253019,136455.0698,Fail
San Bernardino,"1333 South Tippecanoe, San Bernardino, California",34.0758396,-117.258308,,-116.0833144,34.8253019,136358.4548,Fail
San Bernardino,"1333 South Tippecanoe, San Bernardino, California",34.0758396,-117.258308,,-116.0833144,34.8253019,136358.4548,Fail
San Bernardino,"1400 East Victoria Avenue, San Bernardino, California",34.0751039,-117.2556359,,-116.0833144,34.8253019,136215.0935,Fail
San Bernardino,"535 East Tennis Court Lane, San Bernardino, California",34.0966415,-117.2742643,,-116.0833144,34.8253019,136116.6446,Fail
San Bernardino,"7776 Tippecanoe Avenue & 927 9th Street, San Bernardino, California",34.1113776,-117.2628352,,-116.0833144,34.8253019,134290.8558,Fail
San Bernardino,"Acacia Park, San Bernardino, California",34.1786731,-117.3154151,,-116.0833144,34.8253019,134004.381,Fail
San Bernardino,"Sierra Gateway Center, San Bernardino, California",34.1665605,-117.2857895,,-116.0833144,34.8253019,132468.4159,Fail
