"X","Deal.Type","Primary.Asset.Type","Investors.Buyers.Firms.","Bought.From.Sellers.Firms.","Asset.Cities","Assets.Types","Assets","Buyer.Type","Seller.Type","Deal.Size.Usd.Mn.","No.Of.Assets","Total.Size.Sq.Ft.","distance.x","Year_Month","Town","distance","Fed_Rate","Labor_Force","Employment","Unemployment","Unemployment_Rate","HomeValue","Date_Year","Estimate.Own.children.under.6.years","Estimate.Own.children.6.to.17.years","Estimate.Car..truck..or.van....drove.alone","Estimate.Car..truck..or.van....carpooled","Estimate.Public.transportation..excluding.taxicab.","Estimate.Walked","Estimate.Worked.at.home","Estimate.Mean.travel.time.to.work..minutes.","Estimate.Management..business..science..and.arts.occupations","Estimate.Service.occupations","Estimate.Sales.and.office.occupations","Estimate.Natural.resources..construction..and.maintenance.occupations","Estimate.Production..transportation..and.material.moving.occupations","Estimate.Agriculture..forestry..fishing.and.hunting..and.mining","Estimate.Construction","Estimate.Manufacturing","Estimate.Wholesale.trade","Estimate.Retail.trade","Estimate.Transportation.and.warehousing..and.utilities","Estimate.Information","Estimate.Finance.and.insurance..and.real.estate.and.rental.and.leasing","Estimate.Professional..scientific..and.management..and.administrative.and.waste.management.services","Estimate.Educational.services..and.health.care.and.social.assistance","Estimate.Arts..entertainment..and.recreation..and.accommodation.and.food.services","Estimate.Other.services..except.public.administration","Estimate.Public.administration","Estimate.Private.wage.and.salary.workers","Estimate.Government.workers","Estimate.Self.employed.in.own.not.incorporated.business.workers","Estimate.Unpaid.family.workers","Estimate.Median.household.income..dollars.","Estimate.With.earnings","Estimate.With.Social.Security","Estimate.With.retirement.income","Estimate.With.Supplemental.Security.Income","Estimate.With.cash.public.assistance.income","Estimate.With.Food.Stamp.SNAP.benefits.in.the.past.12.months","Estimate.With.health.insurance.coverage","Estimate.With.health.insurance.coverage..With.private.health.insurance","Estimate.With.health.insurance.coverage..With.public.coverage","Estimate.No.health.insurance.coverage","Opportunity_Zone","Year","Address","longitude","latitude","long_center","lat_center","sanity_check","full_address","lat.census.town","lon.census.town"
2892,"Single Asset","Retail","Jamestown","Schnitzer Properties","Alameda","Retail","Alameda Towne Centre","Fund Manager","Fund Manager",181,NA,595000,NA,"2011-01","Alameda",38731.1891470973,0.17,2318626,2092942,225684,9.7,566480.915581022,2011,"4600","9711","23393","3216","5508","1106","2312",28,"17614","5715","9568","1638","3264",0,1023,2431,1165,2230,3590,1718,3062,5766,8929,3877,2434,1574,28260,5634,3905,0,66781,25423,6162,5172,1689,1653,2030,63713,51926,17618,9617,0,2011,"Alameda Towne Centre, Alameda, California",-122.2821855,37.7798721,-121.899142,37.6090291,"Pass","Alameda, California",37.6090291,-121.899142
2396,"Single Asset","Office","Unidentified Buyer/s","G8 Capital","Alameda","Office, Office - R&D","Alameda Technology Center","Other","Fund Manager",8.1,NA,70070,NA,"2012-11","Alameda",32200.6917946104,0.16,2404208,2226794,177414,7.4,518306.654648783,2012,"5805","9555","21984","3932","7261","1544","1977",29.4,"20247","6006","7890","1964","2465",0,1745,2560,1044,3837,1523,1766,3365,6719,8032,4751,1857,1373,32074,4487,2011,0,74860,25411,6671,4617,758,968,1838,66425,56031,19076,7704,0,2012,"Alameda Technology Center, Alameda, California",-122.2327056,37.7271738,-121.899142,37.6090291,"Pass","Alameda, California",37.6090291,-121.899142
2308,"Single Asset","Residential","Kennedy Wilson","PCCP","Alameda","Residential, Multi-Family","Summer House","Fund Manager","Fund Manager",117,NA,NA,NA,"2013-03","Alameda",38750.0286041591,0.14,2401297,2237107,164190,6.8,553660.156800196,2013,"6378","9007","21888","3133","6892","1530","3024",31.4,"17214","5978","9834","2251","2633",45,1647,2623,1198,4433,1980,1219,2690,5222,8951,3437,2555,1910,26794,6627,4442,47,75212,23430,7409,4768,1538,709,1799,64544,52656,20282,10519,0,2013,"Summer House, Alameda, California",-122.2834596,37.7784137,-121.899142,37.6090291,"Pass","Alameda, California",37.6090291,-121.899142
52,"Single Asset","Industrial","Terreno Realty Corporation","Unidentified Seller/s","Alameda","Distribution Warehouse, Industrial","2953-2999 and 3041-3057 Teagarden Street","Fund Manager","Other",34.6,NA,140000,NA,"2022-06","Alameda",24935.3259355507,1.21,2515893,2446059,69834,2.8,1313947.59024205,2022,"5188","10927","19062","1210","2310","652","11975",31.2,"22080","4732","6883","1207","2235",0,1722,4342,935,2865,1799,998,2044,6449,9497,3052,1734,1700,30793,5053,1204,87,131116,21643,8230,5825,2018,1919,2885,73245,57058,24320,1268,0,2022,"2953-2999 and 3041-3057 Teagarden Street, Alameda, California",-122.1553091,37.7041374,-121.899142,37.6090291,"Pass","Alameda, California",37.6090291,-121.899142
1389,"Single Asset","Residential","True North Venture Partners, Nicola Wealth Management","Unidentified Seller/s","South Pasadena","Residential, Multi-Family","EIGHTTWENTY","Fund Manager, Fund Manager","Other",58.5043582905806,NA,NA,NA,"2015-06","Alhambra",1151.256341016,0.13,6561061,6150129,410932,6.3,519033.820998387,2015,"4542","8624","33900","3444","1802","471","2063",29.9,"17261","8471","9989","2703","4349",309,2298,3644,1185,2983,2729,1002,2704,5444,10016,5984,2554,1921,33108,7206,2342,117,51641,23442,8027,3226,2585,633,1744,78099,48109,35376,6860,0,2015,"EIGHTTWENTY, South Pasadena, California",-118.15993,34.1158721,-118.1478291,34.1133062,"Pass","Alhambra, California",34.093042,-118.12706
2841,"Single Asset","Office","Pathfinder Partners","Unidentified Seller/s","Anaheim","Office","Anaheim Crossroads Office","Fund Manager","Other",11.2,NA,104000,NA,"2011-04","Anaheim",2682.44690283731,0.1,6473916,5725344,748572,11.6,369532.683859152,2011,"30927","56523","115395","16507","7143","2923","5106",26.9,"42859","27852","41179","15261","26589",788,10127,23312,5636,20553,5123,2668,9499,16577,28070,17766,9388,4233,129253,14596,9387,504,56858,81300,23170,12079,5073,2492,8361,263421,182761,99113,76074,1,2011,"Anaheim Crossroads Office, Anaheim, California",-117.9075007,33.8585908,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2826,"Single Asset","Residential","Unidentified Buyer/s","Kennedy Wilson","Anaheim","Residential, Multi-Family","Mariposa Apartments","Other","Fund Manager",43,NA,NA,NA,"2011-05","Anaheim",3698.03476886962,0.09,6472740,5722221,750519,11.6,367265.214001291,2011,"30927","56523","115395","16507","7143","2923","5106",26.9,"42859","27852","41179","15261","26589",788,10127,23312,5636,20553,5123,2668,9499,16577,28070,17766,9388,4233,129253,14596,9387,504,56858,81300,23170,12079,5073,2492,8361,263421,182761,99113,76074,1,2011,"Mariposa Apartments, Anaheim, California",-117.8721393,33.839446,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2762,"Single Asset","Office","Bascom Group, Unidentified Buyer/s","Wells Fargo Bank","Anaheim","Office","Anaheim Hills Office Plaza","Fund Manager, Other","Investor",14,NA,75000,NA,"2011-07","Anaheim",15145.6507592474,0.07,6483232,5726337,756895,11.7,360512.437001119,2011,"30927","56523","115395","16507","7143","2923","5106",26.9,"42859","27852","41179","15261","26589",788,10127,23312,5636,20553,5123,2668,9499,16577,28070,17766,9388,4233,129253,14596,9387,504,56858,81300,23170,12079,5073,2492,8361,263421,182761,99113,76074,1,2011,"Anaheim Hills Office Plaza, Anaheim, California",-117.7490656,33.8508021,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2746,"Single Asset","Residential","Western National Properties","TGM Associates","Anaheim","Residential, Multi-Family","The Jackson Apartments","Fund Manager","Fund Manager",31,NA,NA,NA,"2011-08","Anaheim",4774.930613091,0.1,6490615,5734810,755805,11.6,359419.508063115,2011,"30927","56523","115395","16507","7143","2923","5106",26.9,"42859","27852","41179","15261","26589",788,10127,23312,5636,20553,5123,2668,9499,16577,28070,17766,9388,4233,129253,14596,9387,504,56858,81300,23170,12079,5073,2492,8361,263421,182761,99113,76074,1,2011,"The Jackson Apartments, Anaheim, California",-117.8616259,33.845136,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2600,"Single Asset","Industrial","Penwood Real Estate Investment Management, Western Realco","Unidentified Seller/s","Anaheim","Industrial, Distribution Warehouse","2201 East Cerritos Avenue","Fund Manager, Fund Manager","Other",31,NA,209715,NA,"2012-02","Anaheim",3457.33065109232,0.1,6457875,5764731,693144,10.7,353650.748104041,2012,"32150","54674","115500","18309","9239","2265","5232",27.4,"41823","34776","41171","15674","23172",796,11515,19503,4893,19657,6052,2820,10062,19158,27903,22004,8894,3359,132813,13882,9798,123,55464,82871,22357,12428,6078,3001,12577,254671,159544,111245,86932,1,2012,"2201 East Cerritos Avenue, Anaheim, California",-117.8862678,33.8120125,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
