"","Deal Name","Deal Date","Deal Type","Primary Location","Primary Asset Type","Deal Overview","Investors Buyers Firms ","Bought From Sellers Firms ","Asset Regions","Asset Countries","Asset States","Asset Cities","Assets Types","Assets","Buyer Type","Seller Type","Deal Size Usd Mn ","No Of Assets","Total Size Sq Ft ","distance.x","Year_Month","Town","distance","Date","Fed_Rate","Labor_Force","Employment","Unemployment","Unemployment_Rate","HomeValue","Date_Year","Estimate Population 16 years and over","Estimate In labor force","Estimate In labor force!!Civilian labor force","Estimate In labor force Employed","Estimate In labor force Unemployed","Estimate In labor force!!Armed Forces","Estimate Not in labor force","Estimate Civilian labor force","Estimate Females 16 years and over","Estimate Own children under 6 years","Estimate All parents in family in labor force","Estimate Own children 6 to 17 years","Estimate Workers 16 years and over","Estimate Car, truck, or van -- drove alone","Estimate Car, truck, or van -- carpooled","Estimate Public transportation (excluding taxicab)","Estimate Walked","Estimate Other means","Estimate Worked at home","Estimate Mean travel time to work (minutes)","Estimate Civilian employed population 16 years and over","Estimate Management, business, science, and arts occupations","Estimate Service occupations","Estimate Sales and office occupations","Estimate Natural resources, construction, and maintenance occupations","Estimate Production, transportation, and material moving occupations","Estimate Civilian employed population 16 years and over.1","Estimate Agriculture, forestry, fishing and hunting, and mining","Estimate Construction","Estimate Manufacturing","Estimate Wholesale trade","Estimate Retail trade","Estimate Transportation and warehousing, and utilities","Estimate Information","Estimate Finance and insurance, and real estate and rental and leasing","Estimate Professional, scientific, and management, and administrative and waste management services","Estimate Educational services, and health care and social assistance","Estimate Arts, entertainment, and recreation, and accommodation and food services","Estimate Other services, except public administration","Estimate Public administration","Estimate Civilian employed population 16 years and over.2","Estimate Private wage and salary workers","Estimate Government workers","Estimate Self-employed in own not incorporated business workers","Estimate Unpaid family workers","Estimate Total households","Estimate Less than $10,000","Estimate $10,000 to $14,999","Estimate $15,000 to $24,999","Estimate $25,000 to $34,999","Estimate $35,000 to $49,999","Estimate $50,000 to $74,999","Estimate $75,000 to $99,999","Estimate $100,000 to $149,999","Estimate $150,000 to $199,999","Estimate $200,000 or more","Estimate Median household income (dollars)","Estimate Mean household income (dollars)","Estimate With earnings","Estimate With earnings!!Mean earnings (dollars)","Estimate With Social Security","Estimate With Social Security!!Mean Social Security income (dollars)","Estimate With retirement income","Estimate With retirement income!!Mean retirement income (dollars)","Estimate With Supplemental Security Income","Estimate With Supplemental Security Income!!Mean Supplemental Security Income (dollars)","Estimate With cash public assistance income","Estimate With cash public assistance income!!Mean cash public assistance income (dollars)","Estimate With Food Stamp/SNAP benefits in the past 12 months","Estimate Families","Estimate Median family income (dollars)","Estimate Mean family income (dollars)","Estimate Per capita income (dollars)","Estimate Nonfamily households","Estimate Median nonfamily income (dollars)","Estimate Mean nonfamily income (dollars)","Estimate Median earnings for workers (dollars)","Estimate Median earnings for male full-time, year-round workers (dollars)","Estimate Median earnings for female full-time, year-round workers (dollars)","Estimate Civilian noninstitutionalized population","Estimate With health insurance coverage","Estimate With health insurance coverage!!With private health insurance","Estimate With health insurance coverage!!With public coverage","Estimate No health insurance coverage","Estimate Civilian noninstitutionalized population under 18 years","Estimate Civilian noninstitutionalized population 18 to 64 years","Estimate In labor force.1","Estimate In labor force!!Employed","Estimate In labor force With health insurance coverage","Estimate In labor force With health insurance coverage!!With private health insurance","Estimate In labor force With health insurance coverage!!With public coverage","Estimate In labor force No health insurance coverage","Estimate In labor force!!Unemployed","Estimate In labor force With health insurance coverage.1","Estimate In labor force With health insurance coverage!!With private health insurance.1","Estimate In labor force With health insurance coverage!!With public coverage.1","Estimate In labor force No health insurance coverage.1","Estimate Not in labor force.1","Estimate Not in labor force!!With health insurance coverage","Estimate Not in labor force With private health insurance","Estimate Not in labor force With public coverage","Estimate Not in labor force!!No health insurance coverage","Estimate All families","Estimate All families!!With related children under 18 years","Estimate All families With related children under 5 years only","Estimate Married couple families","Estimate Married couple families!!With related children under 18 years","Estimate Married couple families With related children under 5 years only","Estimate Families with female householder, no husband present","Estimate Families with female householder, no husband present!!With related children under 18 years","Estimate Families with female householder, no husband present With related children under 5 years only","Estimate Under 18 years!!Related children under 18 years","Estimate Under 18 years Related children under 5 years","Estimate Under 18 years Related children 5 to 17 years","Opportunity_Zone"
"1","926 10th Street",2023-05-19 01:00:00,"Single Asset","US","Residential","In May 2023, Triwest Development sold 926 10th Street to an unidentified buyer. The residential property is located in Manhattan Beach, CA, US.","Unidentified Buyer/s","Triwest Development","North America","US","CA","Manhattan Beach","Residential, Single Family","926 10th Street","Other","Fund Manager",5.9,NA,7501,NA,"2023-05","Hawthorne",5358.29134365546,2023-05-01,5.06,"6608577","6309393","299184","4.5",813904.047296979,"2023","66674","47634","47348","43867","3481","286","19040","47348","34929","5478","4067","12416","42981","30929","4022","1919","1224","1424","3463","29.4","43867","13904","11271","9582","2907","6203","43867","60","2476","3988","631","4471","4404","849","1964","8303","9076","4846","2093","706","43867","36094","5914","1718","141","32299","1629","2028","2587","3005","2118","6872","3566","5466","2633","2395","65166","87663","27107","90011","6448","21102","5150","25168","1903","11194","1469","4494","5903","19505","73154","97062","34246","12794","51048","66170","43109","55894","50547","82630","74187","44518","37142","8443","19768","52159","45183","42005","36350","29163","9119","5655","3178","2608","997","1611","570","6976","5492","1767","4225","1484","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"2","1900 Aston Avenue",2023-05-15 01:00:00,"Single Asset","US","Industrial","In May 2023, Equity Oak Ventures acquired 1900 Aston Avenue from an unidentified seller. The industrial facility is located in Carlsbad, CA, US.

The asset is within Carlsbad Research Center.","Equity Oak Ventures","Unidentified Seller/s","North America","US","CA","Carlsbad","Industrial, R&D","1900 Aston Avenue","Fund Manager","Other",NA,NA,NA,NA,"2023-05","Carlsbad",0,2023-05-01,5.06,"1595700","1537814","57886","3.6",1308587.76276078,"2023","90320","58146","57493","55091","2402","653","32174","57493","46987","N","N","N","54633","33555","2967","340","802","1092","15877","26.2","55091","32630","7490","10027","1993","2951","55091","1025","2840","6657","1356","5330","1937","985","4700","10257","10320","5073","3347","1264","55091","45442","5301","4280","68","43752","1197","867","928","2069","2351","5759","3157","7475","5679","14270","131257","202903","33764","200656","12177","28757","12297","56685","1361","11610","851","4637","2515","30500","168297","243749","78289","13252","76146","101919","65211","108828","76115","112395","109310","88980","34364","3085","28482","62827","51098","48883","47377","44441","4494","1506","2215","2215","1663","552","0","11729","10796","8824","3128","933","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",0
"3","11225-11245 West Bernardo Court",2023-05-15 01:00:00,"Single Asset","US","Industrial","In May 2023, Equity Oak Ventures acquired 11225-11245 West Bernardo Court from an unidentified seller. The industrial complex is located in San Diego, CA, US.","Equity Oak Ventures","Unidentified Seller/s","North America","US","CA","San Diego","Industrial, Flex","11225-11245 West Bernardo Court","Fund Manager","Other",NA,NA,NA,NA,"2023-05","San Diego",0,2023-05-01,5.06,"1595700","1537814","57886","3.6",1023704.8154836,"2023","1162512","807620","766270","735745","30525","41350","354892","766270","581547","78245","56679","163421","762867","490562","59976","23441","33717","19202","135969","23.5","735745","402166","123871","124177","33426","52105","735745","2967","30019","76031","11944","62014","28939","15698","44883","138861","180739","78123","33486","32041","735745","582974","106220","45212","1339","537532","24448","11115","22130","24835","40607","64356","66564","100826","68053","114598","105780","142898","450593","143223","119568","23141","105481","38287","21250","10764","12782","4216","54537","313945","127372","168450","56642","223587","79706","101718","56607","80276","71639","1339033","1265582","956813","435966","73451","276270","865647","706635","679859","634320","565665","93560","45539","26776","22808","13127","10985","3968","159012","146590","92645","63545","12422","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"4","231 26th Street",2023-05-09 01:00:00,"Single Asset","US","Residential","In May 2023, Triwest Development sold 231 26th Street to an unidentified buyer. The residential property is located in Hermosa Beach, CA, US.","Unidentified Buyer/s","Triwest Development","North America","US","CA","Hermosa Beach","Single Family, Residential","231 26th Street","Other","Fund Manager",6.35,1,2476,NA,"2023-05","Redondo Beach",2989.46596057928,2023-05-01,5.06,"6608577","6309393","299184","4.5",1388113.13360353,"2023","54960","39542","39542","37614","1928","0","15418","39542","N","N","N","N","36443","23738","1325","306","937","237","9900","28.1","37614","24353","4020","6688","1012","1541","37614","0","1667","3434","737","3630","1447","2079","2829","8069","8241","2645","1323","1513","37614","29927","4622","3065","0","29220","954","46","1125","628","1890","3025","1893","4113","4212","11334","159676","195538","24913","194422","7516","24175","5933","52017","507","9128","170","N","1339","16110","204838","239250","85135","13110","99779","140831","99678","127464","118420","67565","66114","55256","16218","1451","14663","41389","35660","34059","33210","31558","1997","849","1601","1495","1277","218","106","5729","5337","4319","1352","392","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",0
"5","5120 Brandin Court",2023-04-27 01:00:00,"Single Asset","US","Industrial","In April 2023, Lift Partners acquired 5120 Brandin Court from an unidentified seller. The industrial property is located in Fremont, CA, US.","Lift Partners","Unidentified Seller/s","North America","US","CA","Fremont","Distribution Warehouse, Industrial","5120 Brandin Court","Fund Manager","Other",NA,1,15811,NA,"2023-04","Fremont",0,2023-04-01,4.83,"2521347","2437199","84148","3.3",1388539.39475246,"2023","185439","123334","122904","116948","5956","430","62105","122904","92193","12714","10509","33966","113472","70277","10538","5079","670","1812","25096","31.2","116948","80949","9006","14571","3685","8737","116948","256","3493","22259","2466","8332","5281","5570","7114","32755","18274","5775","2923","2450","116948","99854","10725","6316","53","81639","2448","1390","2398","1297","3853","6000","5569","13294","10334","35056","170934","215515","70392","221836","18934","26037","14787","42353","2840","10156","2390","2995","4074","63387","198497","241500","78510","18252","92060","120701","99166","147539","100364","224976","219527","182250","53542","5449","49223","140539","114172","108261","105610","100559","6402","2651","5911","5393","4256","1137","518","26367","25234","19202","7266","1133","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"6","The Mix at Harman",2023-04-10 01:00:00,"Single Asset","US","Office","In April 2023, Pendulum Property Partners acquired The Mix at Harman from Shubin Nadal Realty Investors and DRA Advisors. The office complex is located in Los Angeles, CA, US.","Pendulum Property Partners","DRA Advisors, Shubin Nadal Realty Investors","North America","US","CA","Los Angeles","Manufacturing, Industrial, Office","The Mix at Harman","Fund Manager","Fund Manager, Fund Manager",171,NA,NA,NA,"2023-04","Los Angeles",0,2023-04-01,4.83,"6610861","6312847","298014","4.5",1044440.66283573,"2023","3180295","2140032","2138343","1994734","143609","1689","1040263","2138343","1611348","217280","147726","471942","1939951","1199355","173284","122689","64312","58384","321927","31.4","1994734","884609","385685","354691","148259","221490","1994734","8257","133496","130881","42585","183158","114500","127494","108253","310465","422079","243027","117366","53173","1994734","1560707","215076","214794","4157","1460167","92781","65624","95896","95678","131452","214295","169236","228234","133871","233100","79701","120563","1216817","122517","331328","20410","207752","33766","95637","10486","67040","5089","243145","816906","91566","139338","46699","643261","60981","90896","42141","61031","60246","3793579","3474575","2092601","1650832","319004","774023","2480740","1981803","1849992","1644476","1278778","410524","205516","131811","108699","51929","60645","23112","498937","437664","197232","257126","61273","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"7","Union Bank Plaza",2023-03-30 01:00:00,"Single Asset","US","Office","In March 2023, KBS, on behalf of its KBS Real Estate Investment Trust II fund, sold Union Bank Plaza to Waterbridge Capital. The office property is located in Los Angeles, CA, US.","Waterbridge Capital","KBS","North America","US","CA","Los Angeles","Office, Retail","Union Bank Plaza","Fund Manager","Fund Manager",104,NA,701888,NA,"2023-03","Los Angeles",0,2023-03-01,4.65,"6612637","6314541","298096","4.5",1062038.40167503,"2023","3180295","2140032","2138343","1994734","143609","1689","1040263","2138343","1611348","217280","147726","471942","1939951","1199355","173284","122689","64312","58384","321927","31.4","1994734","884609","385685","354691","148259","221490","1994734","8257","133496","130881","42585","183158","114500","127494","108253","310465","422079","243027","117366","53173","1994734","1560707","215076","214794","4157","1460167","92781","65624","95896","95678","131452","214295","169236","228234","133871","233100","79701","120563","1216817","122517","331328","20410","207752","33766","95637","10486","67040","5089","243145","816906","91566","139338","46699","643261","60981","90896","42141","61031","60246","3793579","3474575","2092601","1650832","319004","774023","2480740","1981803","1849992","1644476","1278778","410524","205516","131811","108699","51929","60645","23112","498937","437664","197232","257126","61273","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"8","624 27th Street",2023-03-30 01:00:00,"Single Asset","US","Residential","In March 2023, Triwest Development sold 624 27th Street to an unidentified buyer. The residential property is located in Manhattan Beach, CA, US.","Unidentified Buyer/s","Triwest Development","North America","US","CA","Manhattan Beach","Single Family, Residential","624 27th Street","Other","Fund Manager",4.66,1,5131,NA,"2023-03","Hawthorne",5358.29134365546,2023-03-01,4.65,"6612637","6314541","298096","4.5",829799.686716503,"2023","66674","47634","47348","43867","3481","286","19040","47348","34929","5478","4067","12416","42981","30929","4022","1919","1224","1424","3463","29.4","43867","13904","11271","9582","2907","6203","43867","60","2476","3988","631","4471","4404","849","1964","8303","9076","4846","2093","706","43867","36094","5914","1718","141","32299","1629","2028","2587","3005","2118","6872","3566","5466","2633","2395","65166","87663","27107","90011","6448","21102","5150","25168","1903","11194","1469","4494","5903","19505","73154","97062","34246","12794","51048","66170","43109","55894","50547","82630","74187","44518","37142","8443","19768","52159","45183","42005","36350","29163","9119","5655","3178","2608","997","1611","570","6976","5492","1767","4225","1484","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"9","530 Avondale Avenue",2023-03-28 01:00:00,"Single Asset","US","Residential","In March 2023, Triwest Development sold 530 Avondale Avenue to an unidentified buyer. The residential property is located in Los Angeles, CA, US.","Unidentified Buyer/s","Triwest Development","North America","US","CA","Los Angeles","Single Family, Residential","530 Avondale Avenue","Other","Fund Manager",10.595,1,12613,NA,"2023-03","Los Angeles",0,2023-03-01,4.65,"6612637","6314541","298096","4.5",1062038.40167503,"2023","3180295","2140032","2138343","1994734","143609","1689","1040263","2138343","1611348","217280","147726","471942","1939951","1199355","173284","122689","64312","58384","321927","31.4","1994734","884609","385685","354691","148259","221490","1994734","8257","133496","130881","42585","183158","114500","127494","108253","310465","422079","243027","117366","53173","1994734","1560707","215076","214794","4157","1460167","92781","65624","95896","95678","131452","214295","169236","228234","133871","233100","79701","120563","1216817","122517","331328","20410","207752","33766","95637","10486","67040","5089","243145","816906","91566","139338","46699","643261","60981","90896","42141","61031","60246","3793579","3474575","2092601","1650832","319004","774023","2480740","1981803","1849992","1644476","1278778","410524","205516","131811","108699","51929","60645","23112","498937","437664","197232","257126","61273","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
"10","1 Harrison Street",2023-02-09,"Single Asset","US","Office","In February 2023, Sobrato Capital acquired 1 Harrison Street from Gap Inc. The office property is located in San Francisco, CA, US.","Sobrato Real Estate","Gap Inc.","North America","US","CA","San Francisco","Office","1 Harrison Street","Fund Manager","Other",NA,NA,161650,NA,"2023-02","San Francisco",0,2023-02-01,4.57,"2524137","2443171","80966","3.2",1336938.90680803,"2023","712427","493922","493296","469220","24076","626","218505","493296","346337","38020","27929","68866","460397","136951","32319","101330","47388","30067","112342","30.9","469220","305353","61587","63582","13371","25327","469220","1673","15616","26916","5046","38428","20925","29589","39251","124971","91673","37804","18681","18647","469220","377669","59905","30919","727","372027","19026","15768","18109","15644","20991","32317","33841","51757","39164","125410","126730","193467","301295","207351","88079","21159","66333","36058","24159","10143","9928","4242","44801","172786","154211","234003","88336","199241","99579","152362","81586","123978","100541","805298","779270","609123","254561","26028","117607","540367","457612","435742","421658","390850","39363","14084","21870","19117","11462","8385","2753","82755","76417","44518","35812","6338","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",1
